Reference,Journal_name,Publication_year,Experiment_year,IF,Data_details,Variable_name,Variable_identity,Plant_species,Plant_status,Herbivore_feeding_guild,cor,n,zr,var,Bio_var
Adams et al. 2009a,Biological Invasions,2009,2005,3.1,Data from Figure 3,Total leaf herbivory damage (%),Herbivory,Acer platanoides,Native,All folivores,-0.2716567295500188,34,-0.27865168918330496,0.03225806451612903,Bio_1
Adams et al. 2009a,Biological Invasions,2009,2005,3.1,Data from Figure 3,Total leaf herbivory damage (%),Herbivory,Acer platanoides,Non-native,All folivores,0.07155828253419373,20,0.07168079932600728,0.058823529411764705,Bio_1
Adams et al. 2009b,Ecological Research,2009,2005,2,Data from Figure 6,Total Herbivory % Leaf Area Loss,Herbivory,Liquidambar styraciflua,Native,All folivores,0.1401084011702372,10,0.14103614609161558,0.14285714285714285,Bio_1
Adams et al. 2009b,Ecological Research,2009,2005,2,Data from Figure 6,Total Herbivory % Leaf Area Loss,Herbivory,Quercus alba,Native,All folivores,-0.15334491736892733,18,-0.15456411698782377,0.06666666666666667,Bio_1
Adams et al. 2009b,Ecological Research,2009,2005,2,Data from Figure 7a,Total Herbivory % Leaf Area Loss,Herbivory,Acer rubrum,Native,All folivores,-0.21044285154887854,21,-0.21363467397303276,0.05555555555555555,Bio_1
Adams et al. 2009b,Ecological Research,2009,2005,2,Data from Figure 7b,Total Herbivory % Leaf Area Loss,Herbivory,Fagus grandifolia,Native,All folivores,-0.15607086021796435,16,-0.15735690582649978,0.07692307692307693,Bio_1
Andrew & Hughes 2005,Oikos,2005,2001,3.6,Data from Figure 2,% herbivory/3 months,Herbivory,Acacia falcata,Native,All folivores,-0.42478575569440497,4,-0.4535170821632045,1,Bio_1
Andrew & Hughes 2005,Oikos,2005,2001,3.6,Data from Figure 2,% herbivory/3 months of chewing,Herbivory,Acacia falcata,Native,Defoliators,-0.32320835339887394,4,-0.33522558577712547,1,Bio_1
Andrew & Hughes 2005,Oikos,2005,2001,3.6,Data from Figure 2,% herbivory/3 months of mining,Herbivory,Acacia falcata,Native,Miners,0.6732030023092844,4,0.8165779289837064,1,Bio_1
Andrew & Hughes 2005,Oikos,2005,2001,3.6,Data from Figure 2,% herbivory/3 months of sap-sucking,Herbivory,Acacia falcata,Native,Sap feeders,-0.7072405118297986,4,-0.8816410989052601,1,Bio_1
Andrew & Hughes 2005,Oikos,2005,2001,3.6,Data from Figure 3,Herbivory chewing (Expanding),Herbivory,Acacia falcata,Native,Defoliators,-0.29114905248688144,4,-0.299821281996158,1,Bio_1
Andrew & Hughes 2005,Oikos,2005,2001,3.6,Data from Figure 3,Herbivory chewing (Mature),Herbivory,Acacia falcata,Native,Defoliators,0.6412782958586335,4,0.760341887705272,1,Bio_1
Andrew & Hughes 2005,Oikos,2005,2001,3.6,Data from Figure 3,Herbivory mining (Expanding),Herbivory,Acacia falcata,Native,Miners,0.25288424258092035,4,0.25849171510510077,1,Bio_1
Andrew & Hughes 2005,Oikos,2005,2001,3.6,Data from Figure 3,Herbivory mining (Mature),Herbivory,Acacia falcata,Native,Miners,0.8667057162590291,4,1.319685581829506,1,Bio_1
Andrew & Hughes 2005,Oikos,2005,2001,3.6,Data from Figure 3,Herbivory sap-sucking (Expanding),Herbivory,Acacia falcata,Native,Sap feeders,0.664560181387763,4,0.8009368250400657,1,Bio_1
Andrew & Hughes 2005,Oikos,2005,2001,3.6,Data from Figure 3,Herbivory sap-sucking (Mature),Herbivory,Acacia falcata,Native,Sap feeders,0.6304485316195197,4,0.7421602030344968,1,Bio_1
Andrew & Hughes 2007,Global Change Biology,2007,2002,13,Data from Figure 4,% herbivory/ 12 months,Herbivory,Acacia falcata,Native,All folivores,-0.055169371918658575,5,-0.0552254466205009,0.5,Bio_1
Andrew & Hughes 2007,Global Change Biology,2007,2002,13,Data from Figure 4,% herbivory/ 12 months of chewing,Herbivory,Acacia falcata,Native,Defoliators,0.34721093991486623,5,0.36226885943838083,0.5,Bio_1
Andrew & Hughes 2007,Global Change Biology,2007,2002,13,Data from Figure 4,% herbivory/ 12 months of mining,Herbivory,Acacia falcata,Native,Miners,-0.0026307972396877152,5,-0.002630803309044685,0.5,Bio_1
Andrew & Hughes 2007,Global Change Biology,2007,2002,13,Data from Figure 4,% herbivory/ 12 months of sap-sucking,Herbivory,Acacia falcata,Native,Sap feeders,-0.8683781801522829,5,-1.3264466203693284,0.5,Bio_1
Barrio et al. 2017,Polar Biology,2017,2009,1.9,Data from Table S2.2,All herbivores average damage_2009,Herbivory,Betula nana,Native,All folivores,-0.9100697446542259,3,-1.527930303296851,1,Bio_1
Barrio et al. 2017,Polar Biology,2017,2009,1.9,Data from Table S2.2,All herbivores percentage leaf area_2009,Herbivory,Betula nana,Native,All folivores,-0.9732822804672933,3,-2.1510632846470474,1,Bio_1
Barrio et al. 2017,Polar Biology,2017,2009,1.9,Data from Table S2.2,All herbivores percentage leaves_2009,Herbivory,Betula nana,Native,All folivores,-0.8234578278048679,3,-1.1674650495690848,1,Bio_1
Barrio et al. 2017,Polar Biology,2017,2009,1.9,Data from Table S2.2,Defoliators average damage_2009,Herbivory,Betula nana,Native,Defoliators,-0.9100697446542259,3,-1.527930303296851,1,Bio_1
Barrio et al. 2017,Polar Biology,2017,2009,1.9,Data from Table S2.2,Defoliators percentage leaf area_2009,Herbivory,Betula nana,Native,Defoliators,-0.9732822804672933,3,-2.1510632846470474,1,Bio_1
Barrio et al. 2017,Polar Biology,2017,2009,1.9,Data from Table S2.2,Defoliators percentage leaves_2009,Herbivory,Betula nana,Native,Defoliators,-0.8234578278048679,3,-1.1674650495690848,1,Bio_1
Barrio et al. 2017,Polar Biology,2017,2013,1.9,Data from Table S2.2,All herbivores average damage_2013,Herbivory,Betula nana,Native,All folivores,0.8665225177056629,3,1.318949785377284,1,Bio_1
Barrio et al. 2017,Polar Biology,2017,2013,1.9,Data from Table S2.2,All herbivores percentage leaf area_2013,Herbivory,Betula nana,Native,All folivores,-0.039293273521289286,3,-0.03931351470736481,1,Bio_1
Barrio et al. 2017,Polar Biology,2017,2013,1.9,Data from Table S2.2,All herbivores percentage leaves_2013,Herbivory,Betula nana,Native,All folivores,-0.3621996221468838,3,-0.37941534720747755,1,Bio_1
Barrio et al. 2017,Polar Biology,2017,2013,1.9,Data from Table S2.2,Defoliators average damage_2013,Herbivory,Betula nana,Native,Defoliators,0.8665225177056629,3,1.318949785377284,1,Bio_1
Barrio et al. 2017,Polar Biology,2017,2013,1.9,Data from Table S2.2,Defoliators percentage leaf area_2013,Herbivory,Betula nana,Native,Defoliators,-0.039293273521289286,3,-0.03931351470736481,1,Bio_1
Barrio et al. 2017,Polar Biology,2017,2013,1.9,Data from Table S2.2,Defoliators percentage leaves_2013,Herbivory,Betula nana,Native,Defoliators,-0.3621996221468838,3,-0.37941534720747755,1,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,All herbivores average damage,Herbivory,Betula glandulosa,Native,All folivores,0.6083147425783915,8,0.7062417817392846,0.2,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,All herbivores average damage,Herbivory,Betula nana,Native,All folivores,-0.014185844135242766,34,-0.014186795827944887,0.03225806451612903,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,All herbivores percentage leaf area,Herbivory,Betula glandulosa,Native,All folivores,0.784564105732776,8,1.0571330375159604,0.2,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,All herbivores percentage leaf area,Herbivory,Betula nana,Native,All folivores,0.17839031734798017,34,0.1803196023370945,0.03225806451612903,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,All herbivores percentage leaves,Herbivory,Betula glandulosa,Native,All folivores,0.6726162683910366,8,0.815505666627564,0.2,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,All herbivores percentage leaves,Herbivory,Betula nana,Native,All folivores,0.12087272694432628,34,0.12146660056346621,0.03225806451612903,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,Defoliators average damage,Herbivory,Betula glandulosa,Native,Defoliators,0.5878703593384053,8,0.6744055195622263,0.2,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,Defoliators average damage,Herbivory,Betula nana,Native,Defoliators,-0.012067719157564645,34,-0.012068305015449352,0.03225806451612903,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,Defoliators percentage leaf area,Herbivory,Betula glandulosa,Native,Defoliators,0.7846496060959617,8,1.057355467603026,0.2,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,Defoliators percentage leaf area,Herbivory,Betula nana,Native,Defoliators,0.17505695840007712,34,0.17687877858557316,0.03225806451612903,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,Defoliators percentage leaves,Herbivory,Betula glandulosa,Native,Defoliators,0.7027421163899088,8,0.8726975915732225,0.2,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,Defoliators percentage leaves,Herbivory,Betula nana,Native,Defoliators,0.11793447585081246,34,0.11848584998455536,0.03225806451612903,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,Gallers percentage leaf area,Herbivory,Betula glandulosa,Native,Gallers,-0.14490830960600437,8,-0.14593556521064766,0.2,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,Gallers percentage leaf area,Herbivory,Betula nana,Native,Gallers,-0.16014623541675463,25,-0.16153677713460216,0.045454545454545456,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,Gallers percentage leaves,Herbivory,Betula glandulosa,Native,Gallers,-0.4030752138490909,8,-0.42731528442880645,0.2,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,Gallers percentage leaves,Herbivory,Betula nana,Native,Gallers,-0.3582275796811764,25,-0.37485106158304443,0.045454545454545456,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,Miners percentage leaf area,Herbivory,Betula nana,Native,Miners,-0.04016196971831181,20,-0.04018358417609999,0.058823529411764705,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,Miners percentage leaves,Herbivory,Betula glandulosa,Native,Miners,0.09331407222356405,8,0.09358634070942745,0.2,Bio_1
Barrio et al. 2017,Polar Biology,2017,2014,1.9,Data from Table S2.2,Miners percentage leaves,Herbivory,Betula nana,Native,Miners,0.07858321560593962,25,0.07874557649110145,0.045454545454545456,Bio_1
Barrio et al. 2017,Polar Biology,2017,2015,1.9,Data from Table S2.2,All herbivores average damage,Herbivory,Betula nana,Native,All folivores,0.20147548436660812,5,0.20426999074356944,0.5,Bio_1
Barrio et al. 2017,Polar Biology,2017,2015,1.9,Data from Table S2.2,All herbivores percentage leaf area,Herbivory,Betula nana,Native,All folivores,0.9708562557741677,5,2.106991545726944,0.5,Bio_1
Barrio et al. 2017,Polar Biology,2017,2015,1.9,Data from Table S2.2,All herbivores percentage leaves,Herbivory,Betula nana,Native,All folivores,0.876034529306005,5,1.3584562352640837,0.5,Bio_1
Barrio et al. 2017,Polar Biology,2017,2015,1.9,Data from Table S2.2,Defoliators average damage,Herbivory,Betula nana,Native,Defoliators,0.1996987294382419,5,0.20241875023775233,0.5,Bio_1
Barrio et al. 2017,Polar Biology,2017,2015,1.9,Data from Table S2.2,Defoliators percentage leaf area,Herbivory,Betula nana,Native,Defoliators,0.970374501236344,5,2.0986717352988817,0.5,Bio_1
Barrio et al. 2017,Polar Biology,2017,2015,1.9,Data from Table S2.2,Defoliators percentage leaves,Herbivory,Betula nana,Native,Defoliators,0.8790433664416714,5,1.371542998834048,0.5,Bio_1
Barrio et al. 2017,Polar Biology,2017,2015,1.9,Data from Table S2.2,Miners percentage leaf area,Herbivory,Betula nana,Native,Miners,-0.11412591527570536,5,-0.1146253100143714,0.5,Bio_1
Barrio et al. 2017,Polar Biology,2017,2015,1.9,Data from Table S2.2,Miners percentage leaves,Herbivory,Betula nana,Native,Miners,-0.3571643875501977,5,-0.37363187926033303,0.5,Bio_1
Baskett & Schemske 2018,Ecology Letters,2018,2014,9.8,Data from Dryad,﻿mean herbivory (consumed leaf area/total area*100)_Mature_2014,Herbivory,Phytolacca americana,Native,Defoliators,0.5071460780729568,60,0.5588801506141944,0.017543859649122806,Bio_1
Baskett & Schemske 2018,Ecology Letters,2018,2014,9.8,Data from Dryad,﻿mean herbivory (consumed leaf area/total area*100)_Young_2014,Herbivory,Phytolacca americana,Native,Defoliators,0.7979418489432544,70,1.0929211699695085,0.014925373134328358,Bio_1
Baskett & Schemske 2018,Ecology Letters,2018,2015,9.8,Data from Dryad,Herbivore abundance,Herbivore abundance,Phytolacca americana,Native,All folivores,0.16078925565878474,50,0.16219679273576276,0.02127659574468085,Bio_1
Baskett & Schemske 2018,Ecology Letters,2018,2015,9.8,Data from Dryad,mean herbivory (consumed leaf area/total area*100)_2015,Herbivory,Phytolacca americana,Native,Defoliators,0.628507688020966,239,0.7389455881107092,0.00423728813559322,Bio_1
Baskett et al. 2020,Ecological Monographs,2020,2017,9,Data from Dryad,Herbivory rate_mature,Herbivory,Phytolacca americana,Native,Defoliators,-0.08675161918625411,175,-0.08697023356092363,0.005813953488372093,Bio_1
Baskett et al. 2020,Ecological Monographs,2020,2017,9,Data from Dryad,Herbivory rate_mature,Herbivory,Phytolacca rivinoides,Native,Defoliators,0.2490726501469552,158,0.25442388293944634,0.0064516129032258064,Bio_1
Baskett et al. 2020,Ecological Monographs,2020,2017,9,Data from Dryad,Herbivory rate_young,Herbivory,Phytolacca americana,Native,Defoliators,0.06354800200204842,175,0.06363375286736289,0.005813953488372093,Bio_1
Baskett et al. 2020,Ecological Monographs,2020,2017,9,Data from Dryad,Herbivory rate_young,Herbivory,Phytolacca rivinoides,Native,Defoliators,0.26672456528612287,166,0.27333418526982933,0.006134969325153374,Bio_1
Bravo-Monzon et al. 2014,Oecologia,2014,2009,2.8,Data from Figure 1,Herbivore damage (%),Herbivory,Mikania micrantha,Native,All folivores,0.422794598783287,14,0.45109002970277423,0.09090909090909091,Bio_1
Castilla et al. 2013,Acta Oecologica-International Journal of Ecology,2013,2007,1.6,Data from Figure 2,% Leaf area removed_2007,Herbivory,Daphne laureola,Native,Defoliators,0.18202300476716823,6,0.18407422366729545,0.3333333333333333,Bio_1
Castilla et al. 2013,Acta Oecologica-International Journal of Ecology,2013,2009,1.6,Data from Figure 2,% Leaf area removed_2009,Herbivory,Daphne laureola,Native,Defoliators,0.2897534817449097,6,0.2982971305445143,0.3333333333333333,Bio_1
Cincotta et al. 2009,Biological Invasion,2009,2005,3.1,Data from Figure 1,Mean % Leaf Area Loss,Herbivory,Acer platanoides,Non-native,All folivores,0.36793736999619375,6,0.3860354138118413,0.3333333333333333,Bio_1
Cincotta et al. 2009,Biological Invasion,2009,2005,3.1,Data from Figure 1,Mean % Leaf Area Loss,Herbivory,Acer saccharum,Native,All folivores,0.712063442822482,6,0.8913572227237342,0.3333333333333333,Bio_1
Cincotta et al. 2009,Biological Invasion,2009,2006,3.1,Data from Figure 2,Mean % Leaf Area Loss_2006_July,Herbivory,Acer platanoides,Non-native,All folivores,-0.7546574718296243,6,-0.9836868178954252,0.3333333333333333,Bio_1
Cincotta et al. 2009,Biological Invasion,2009,2006,3.1,Data from Figure 2,Mean % Leaf Area Loss_2006_July,Herbivory,Acer saccharum,Native,All folivores,-0.31723022836195813,6,-0.32856439021639,0.3333333333333333,Bio_1
Cincotta et al. 2009,Biological Invasion,2009,2006,3.1,Data from Figure 2,Mean % Leaf Area Loss_2006_May,Herbivory,Acer platanoides,Non-native,All folivores,-0.5993312933718343,6,-0.6921029806955928,0.3333333333333333,Bio_1
Cincotta et al. 2009,Biological Invasion,2009,2006,3.1,Data from Figure 2,Mean % Leaf Area Loss_2006_May,Herbivory,Acer saccharum,Native,All folivores,-0.744063782578372,6,-0.9595224568199504,0.3333333333333333,Bio_1
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 2F,ln(prop. leaf area chewed) residuals,Herbivory,Phragmites australis,Native,Defoliators,0.7822830014566291,22,1.0512271794748975,0.05263157894736842,Bio_1
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 2F,ln(prop. leaf area chewed) residuals,Herbivory,Phragmites australis,Non-native,Defoliators,0.17517739106206004,28,0.1770030212771985,0.04,Bio_1
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 2G,ln(stem-feeder incidence) residuals,Herbivory,Phragmites australis,Native,Stem feeders,0.8095338525052428,25,1.1256750378511755,0.045454545454545456,Bio_1
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 2G,ln(stem-feeder incidence) residuals,Herbivory,Phragmites australis,Non-native,Stem feeders,0.043584347488818245,29,0.04361197652727351,0.038461538461538464,Bio_1
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 2H,ln(aphids per stem) residuals,Herbivore abundance,Phragmites australis,Native,Sap feeders,-0.46803406196818265,12,-0.5075499754224918,0.1111111111111111,Bio_1
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 2H,ln(aphids per stem) residuals,Herbivore abundance,Phragmites australis,Non-native,Sap feeders,-0.1494927289347886,15,-0.1506215289014154,0.08333333333333333,Bio_1
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 3F,ln(prop. leaf area chewed) residuals,Herbivory,Phragmites australis,Native,Defoliators,0.3963521756965725,21,0.4193137854119674,0.05555555555555555,Bio_1
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 3F,ln(prop. leaf area chewed) residuals,Herbivory,Phragmites australis,Non-native,Defoliators,0.17074220174369958,30,0.17243105268245604,0.037037037037037035,Bio_1
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 3G,ln(stem-feeder incidence) residuals,Herbivory,Phragmites australis,Native,Stem feeders,0.3124739983013268,40,0.32328476698667313,0.02702702702702703,Bio_1
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 3G,ln(stem-feeder incidence) residuals,Herbivory,Phragmites australis,Non-native,Stem feeders,0.06813040791678317,30,0.0682361173094711,0.037037037037037035,Bio_1
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 3H,ln(aphids per stem) residuals,Herbivore abundance,Phragmites australis,Native,Sap feeders,0.08721250845693779,18,0.08743463645639114,0.06666666666666667,Bio_1
Cronin et al. 2015,Ecology,2015,2012,5.5,Data from Figure 3H,ln(aphids per stem) residuals,Herbivore abundance,Phragmites australis,Non-native,Sap feeders,0.16839492259901112,13,0.17001428167823107,0.1,Bio_1
Dangremond & Feller 2014,Aquatic Botany,2014,2012,2.467,Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3,Losses,Herbivory,Pelliciera rhizophorae,Native,All folivores,-0.5290873271277399,8,-0.5888768246349084,0.2,Bio_1
Fedriani et al. 2004,Oikos,2004,1999,3.99,Data from Figure 1,% Fruit and flower losses_open,Herbivory,Helleborus foetidus,Native,Seed feeders,0.4590022098953303,3,0.49604643459106595,1,Bio_1
Fedriani et al. 2004,Oikos,2004,1999,3.99,Data from Figure 1,% Fruit and flower losses_woodland,Herbivory,Helleborus foetidus,Native,Seed feeders,0.7797536219537552,3,1.0447416995655519,1,Bio_1
Feller et al. 2013,Ecosystem,2013,1999,3.9,Data from Figure 2,Folivory (% leaf area damaged)_Fringe,Herbivory,Rhizophora mangle,Native,All folivores,-0.9938797201235042,3,-2.893114900434657,1,Bio_1
Feller et al. 2013,Ecosystem,2013,1999,3.9,Data from Figure 2,Folivory (% leaf area damaged)_Scrub,Herbivory,Rhizophora mangle,Native,All folivores,-0.9992599195131178,3,-3.9507643417291525,1,Bio_1
Feller et al. 2013,Ecosystem,2013,1999,3.9,Data from Figure 2,Loss of Yield (% reduction in leaf area)_Fringe,Herbivory,Rhizophora mangle,Native,Defoliators,-0.9480770537121174,3,-1.812418610621566,1,Bio_1
Feller et al. 2013,Ecosystem,2013,1999,3.9,Data from Figure 2,Loss of Yield (% reduction in leaf area)_Scrub,Herbivory,Rhizophora mangle,Native,Defoliators,-0.5024990309537102,3,-0.5526437585123664,1,Bio_1
Garcia et al. 2001,Journal of Ecology,2001,1996,6.1,Data from Figure 1,Avian frugivory,Herbivory,Juniperus communis,Native,Seed feeders,-0.2798623015716194,12,-0.28753266634395863,0.1111111111111111,Bio_1
Garcia et al. 2001,Journal of Ecology,2001,1996,6.1,Data from Figure 1,Rodent predation,Herbivory,Juniperus communis,Native,Seed feeders,-0.36372395866290647,12,-0.3811709725692956,0.1111111111111111,Bio_1
Garibaldi et al. 2011,Global Ecology and Biogeography,2011,2007,7.7,Data from Appendix S2,Total folivore density on Nothofagus pumilio forests,Herbivore abundance,Nothofagus pumilio,Native,All folivores,0.2756746437222041,45,0.28299488570846343,0.023809523809523808,Bio_1
Garibaldi et al. 2011,Global Ecology and Biogeography,2011,2007,7.7,Data from Figure 1,Leaf damage frequency,Herbivory,Nothofagus pumilio,Native,All folivores,0.6937240336739962,46,0.8550992037852003,0.023255813953488372,Bio_1
Gaston et al. 2004,Journal of Animal Ecology,2004,2000,4.7,Data from Figure 4(a),Densities of oviposition,Herbivore abundance,Ilex aquifolium,Native,Miners,-0.12658244618649683,26,-0.127265103003843,0.043478260869565216,Bio_1
Gaston et al. 2004,Journal of Animal Ecology,2004,2000,4.7,Data from Figure 4(b),Mined leaves,Herbivory,Ilex aquifolium,Native,Miners,-0.01643451942657197,26,-0.016435999284966828,0.043478260869565216,Bio_1
Gaston et al. 2004,Journal of Animal Ecology,2004,2000,4.7,Data from Figure 4(c),Successful emergence of the holly leaf-miner,Herbivore abundance,Ilex aquifolium,Native,Miners,-0.3786140029940598,26,-0.3984407328432069,0.043478260869565216,Bio_1
Genton et al. 2005,Oecologia,2005,2003,2.8,Data from Figure 3,Chewing,Herbivory,Ambrosia artemisiifolia,Non-native,Defoliators,0.950676915510624,3,1.8387697554013012,1,Bio_1
Genton et al. 2005,Oecologia,2005,2003,2.8,Data from Figure 3,Perforations (n),Herbivory,Ambrosia artemisiifolia,Non-native,Defoliators,-0.15707503370722103,3,-0.15838631547888227,1,Bio_1
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_Phylaphis fagi_canopy,Herbivory,Fagus sylvatica,Native,Sap feeders,-0.9116053105246283,3,-1.5369433753606427,1,Bio_1
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_Phylaphis fagi_understorey,Herbivory,Fagus sylvatica,Native,Sap feeders,0.84977236135887535,3,1.2553330639637788,1,Bio_1
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_chewing damage_canopy,Herbivory,Fagus sylvatica,Native,Defoliators,-0.8968479544086575,3,-1.4558723728117657,1,Bio_1
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_chewing damage_understorey,Herbivory,Fagus sylvatica,Native,Defoliators,0.9928639143042894,3,2.816081815956779,1,Bio_1
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_gall midges_canopy,Herbivory,Fagus sylvatica,Native,Gallers,0.7531641662445107,3,0.9802270271439619,1,Bio_1
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_gall midges_understorey,Herbivory,Fagus sylvatica,Native,Gallers,0.13956991532207927,3,0.14048692012065928,1,Bio_1
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_gall mites_canopy,Herbivory,Fagus sylvatica,Native,Gallers,0.3089467494331686,3,0.3193806004468267,1,Bio_1
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_gall mites_understorey,Herbivory,Fagus sylvatica,Native,Gallers,-0.058955697734787524,3,-0.05902414610449355,1,Bio_1
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_mines_canopy,Herbivory,Fagus sylvatica,Native,Miners,-0.9730132982539849,3,-2.145986514685625,1,Bio_1
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_mines_understorey,Herbivory,Fagus sylvatica,Native,Miners,-0.6043534474041462,3,-0.6999774245726386,1,Bio_1
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_overall damage_canopy,Herbivory,Fagus sylvatica,Native,All folivores,-0.9961566321315799,3,-3.1263149477599046,1,Bio_1
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_overall damage_understorey,Herbivory,Fagus sylvatica,Native,All folivores,0.9265071783355091,3,1.6331380765703294,1,Bio_1
Gossner et al. 2014,Plos One,2014,2009,3.3,Data from Figure 2,Percentage of total leaves_scraping damage_canopy,Herbivory,Fagus sylvatica,Native,Defoliators,0.13186053246819673,3,0.1326328340031353,1,Bio_1
